[2016-09-05 18:15:16,049 - ReplayDB.py:48 -             __init__() ] Connected to database /data/ascar/ascar_replay_db.sqlite
[2016-09-05 18:15:17,193 - DQLDaemon.py:142 -                start() ] DQLDaemon started
[2016-09-05 18:15:17,195 - DQLDaemon.py:149 -                start() ] Not enough data for training yet.
[2016-09-05 18:15:17,196 - discrete_deepq.py:247 -               action() ] Randomly chose action 1
[2016-09-05 18:15:17,198 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:17,207 - DQLDaemon.py:149 -                start() ] Not enough data for training yet.
[2016-09-05 18:15:17,207 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9906072616577148 seconds
[2016-09-05 18:15:18,213 - discrete_deepq.py:251 -               action() ] Chose calculated action 1
[2016-09-05 18:15:18,229 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:18,248 - DQLDaemon.py:149 -                start() ] Not enough data for training yet.
[2016-09-05 18:15:18,248 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9658868312835693 seconds
[2016-09-05 18:15:19,220 - discrete_deepq.py:247 -               action() ] Randomly chose action 2
[2016-09-05 18:15:19,223 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:19,243 - DQLDaemon.py:149 -                start() ] Not enough data for training yet.
[2016-09-05 18:15:19,243 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9785480499267578 seconds
[2016-09-05 18:15:20,228 - discrete_deepq.py:251 -               action() ] Chose calculated action 1
[2016-09-05 18:15:20,232 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:20,233 - DQLDaemon.py:149 -                start() ] Not enough data for training yet.
[2016-09-05 18:15:20,233 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9974956512451172 seconds
[2016-09-05 18:15:21,237 - discrete_deepq.py:247 -               action() ] Randomly chose action 0
[2016-09-05 18:15:21,272 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:21,273 - DQLDaemon.py:149 -                start() ] Not enough data for training yet.
[2016-09-05 18:15:21,273 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9640734195709229 seconds
[2016-09-05 18:15:22,277 - discrete_deepq.py:247 -               action() ] Randomly chose action 0
[2016-09-05 18:15:22,279 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:22,280 - DQLDaemon.py:149 -                start() ] Not enough data for training yet.
[2016-09-05 18:15:22,280 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9973969459533691 seconds
[2016-09-05 18:15:23,285 - discrete_deepq.py:251 -               action() ] Chose calculated action 2
[2016-09-05 18:15:23,289 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:23,290 - DQLDaemon.py:149 -                start() ] Not enough data for training yet.
[2016-09-05 18:15:23,290 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9970803260803223 seconds
[2016-09-05 18:15:24,327 - discrete_deepq.py:247 -               action() ] Randomly chose action 0
[2016-09-05 18:15:24,329 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:24,329 - DQLDaemon.py:149 -                start() ] Not enough data for training yet.
[2016-09-05 18:15:24,330 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9976978302001953 seconds
[2016-09-05 18:15:25,333 - discrete_deepq.py:247 -               action() ] Randomly chose action 2
[2016-09-05 18:15:25,337 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:25,357 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 8
[2016-09-05 18:15:25,415 - DQLDaemon.py:147 -                start() ] Finished training step in 0.07745170593261719 seconds
[2016-09-05 18:15:25,419 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9163122177124023 seconds
[2016-09-05 18:15:26,342 - discrete_deepq.py:251 -               action() ] Chose calculated action 2
[2016-09-05 18:15:26,354 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:26,397 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 8
[2016-09-05 18:15:26,429 - DQLDaemon.py:147 -                start() ] Finished training step in 0.07398152351379395 seconds
[2016-09-05 18:15:26,429 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9151718616485596 seconds
[2016-09-05 18:15:27,351 - discrete_deepq.py:251 -               action() ] Chose calculated action 1
[2016-09-05 18:15:27,357 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:27,408 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 8
[2016-09-05 18:15:27,415 - DQLDaemon.py:147 -                start() ] Finished training step in 0.05751180648803711 seconds
[2016-09-05 18:15:27,415 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9394776821136475 seconds
